Welle;Score;Fit;Anlage;Ort;Bundesland;PLZ;E-Mail;Telefon;System;Boxen;Bar;Eventlocation;Typ;Website;Quellstatus;Kontakt-Status;Notizen;Ansprache-Status;Mail 1 am;Nachfass 1 am;Nachfass 2 am;Rückmeldung
3;D;Prüfen;Golfanlage Kirchheim-Wendlingen-Wernau;Kirchheim unter Teck;Baden-Württemberg;;info@golf-kirchheim.de;;;;;;Golfplatz/Golfclub-Box;;Altverzeichnis – aktuellen Betrieb prüfen;Adresse fehlt;Treffer aus einem älteren Indoor-Golf-Verzeichnis. Vor Ansprache Website, Betrieb und Kontaktdaten prüfen.;offen;;;;
3;D;Prüfen;Indoor Golf Hohenloher Tor;Bretzfeld;Baden-Württemberg;74626;info@hohenlohertor.de;+49 7946 9467640;;;;;Reines Simulatorstudio;;Verzeichnisfund – prüfen;Kontakt vollständig;Standalone Indoor-Golf laut Verzeichnis.;offen;;;;
3;D;Prüfen;Pro Marine Gottmadingen;Gottmadingen;Baden-Württemberg;78244;promarine@promarine.de;+49 7731 3191319;;;;;Golfshop/Fitting/Training;;Verzeichnisfund – prüfen;Kontakt vollständig;"Shop/Fitting-orientierter Indoor-Golf-Eintrag; kein Golfplatz.";offen;;;;
3;D;Prüfen;Sportklamser Ulm;Ulm;Baden-Württemberg;;info@sportklamser-ulm.de;;;;;;Golfshop/Fitting/Training;;Altverzeichnis – aktuellen Betrieb prüfen;Adresse fehlt;Treffer aus einem älteren Indoor-Golf-Verzeichnis. Vor Ansprache Website, Betrieb und Kontaktdaten prüfen.;offen;;;;
3;D;Prüfen;Sportpalast Singen;Singen;Baden-Württemberg;78224;info@sportpalast-singen.de;+49 7731 922450;;;;;Sport-/Freizeitzentrum;;Verzeichnisfund – prüfen;Kontakt vollständig;Sportcenter mit Indoor-Golf-Eintrag.;offen;;;;
3;D;Prüfen;myclubmaker Golf+IT;Heimsheim;Baden-Württemberg;71296;info@myclubmaker.de;+49 7033 4691991;;;;;Golfshop/Fitting/Training;;Verzeichnisfund – prüfen;Kontakt vollständig;"Fitting/Shop-orientiert; nur aufnehmen, wenn buchbares Indoor-Golf relevant ist.";offen;;;;
3;D;Prüfen;Brute Golf Lounge;Burk;Bayern;91596;info@brute-golf.com;+49 160 91952037;TrackMan;;;;Indoor-Golf-Lounge;https://www.brutegolflounge.de/;Verzeichnisfund – prüfen;Kontakt vollständig;"Standalone-Lounge aus Verzeichnis/Website; Details vor Kontaktaufnahme prüfen.";offen;;;;
3;D;Prüfen;Donau Golf Club Passau Indoor Golf;Passau;Bayern;;info@golf-passau.de;;;;;;Golfplatz/Golfclub-Box;;Altverzeichnis – aktuellen Betrieb prüfen;Adresse fehlt;Treffer aus einem älteren Indoor-Golf-Verzeichnis. Vor Ansprache Website, Betrieb und Kontaktdaten prüfen.;offen;;;;
3;D;Prüfen;FLIGHT Alzenau;Alzenau;Bayern;63755;hello@flight-golf.de;+49 6023 9298570;;;;;Indoor-Golf-Lounge;;Verzeichnisfund – prüfen;Kontakt vollständig;Standalone-Kandidat aus Verzeichnis.;offen;;;;
3;D;Prüfen;GC Ingolstadt Indoor-Halle;Ingolstadt;Bayern;;info@golf-ing.de;;;;;;Golfplatz/Golfclub-Box;;Altverzeichnis – aktuellen Betrieb prüfen;Adresse fehlt;Treffer aus einem älteren Indoor-Golf-Verzeichnis. Vor Ansprache Website, Betrieb und Kontaktdaten prüfen.;offen;;;;
3;D;Prüfen;Golf Simulator Gunzenhausen;Gunzenhausen;Bayern;;info@golfsimgun.de;;;;;;Reines Simulatorstudio;;Altverzeichnis – aktuellen Betrieb prüfen;Adresse fehlt;Treffer aus einem älteren Indoor-Golf-Verzeichnis. Vor Ansprache Website, Betrieb und Kontaktdaten prüfen.;offen;;;;
3;D;Prüfen;Golf USA - VR Golf Garching;Garching;Bayern;85748;info@golfusa-munich.com;;;;;;Golfshop/Fitting/Training;;Verzeichnisfund – prüfen;Telefon fehlt;Aktualität nicht sicher genug für Hauptliste.;offen;;;;
3;D;Prüfen;Golf Valley;Valley;Bayern;;info@golfvalley.de;;;;;;Golfplatz/Golfclub-Box;;Altverzeichnis – aktuellen Betrieb prüfen;Adresse fehlt;Treffer aus einem älteren Indoor-Golf-Verzeichnis. Vor Ansprache Website, Betrieb und Kontaktdaten prüfen.;offen;;;;
3;D;Prüfen;Golfanlage Zollmühle Indoor Golf;;Bayern;;info@golfanlage-zollmuehle.de;;;;;;Golfplatz/Golfclub-Box;;Altverzeichnis – aktuellen Betrieb prüfen;Adresse fehlt;Treffer aus einem älteren Indoor-Golf-Verzeichnis. Vor Ansprache Website, Betrieb und Kontaktdaten prüfen.;offen;;;;
3;D;Prüfen;Golfhaus Unterwössen;Unterwössen;Bayern;;temp@golfhaus.de;;;;;;Golfshop/Fitting/Training;;Altverzeichnis – aktuellen Betrieb prüfen;Adresse fehlt;Treffer aus einem älteren Indoor-Golf-Verzeichnis. Vor Ansprache Website, Betrieb und Kontaktdaten prüfen.;offen;;;;
3;D;Prüfen;Golflounge Bamberg;Bamberg;Bayern;;golfloungebamberg@ebusy.de;;;;;;Indoor-Golf-Lounge;;Altverzeichnis – aktuellen Betrieb prüfen;Adresse fehlt;Treffer aus einem älteren Indoor-Golf-Verzeichnis. Vor Ansprache Website, Betrieb und Kontaktdaten prüfen.;offen;;;;
3;D;Prüfen;Golfpark Schloßgut Lenzfried;Kempten;Bayern;;info@golfparklenzfried.de;;;;;;Golfplatz/Golfclub-Box;;Altverzeichnis – aktuellen Betrieb prüfen;Adresse fehlt;Treffer aus einem älteren Indoor-Golf-Verzeichnis. Vor Ansprache Website, Betrieb und Kontaktdaten prüfen.;offen;;;;
3;D;Prüfen;Hotel Residence Starnberger See Indoor Golf;Feldafing;Bayern;;info@residence-starnberg.de;;;;;;Hotel/Resort-Box;;Altverzeichnis – aktuellen Betrieb prüfen;Adresse fehlt;Treffer aus einem älteren Indoor-Golf-Verzeichnis. Vor Ansprache Website, Betrieb und Kontaktdaten prüfen.;offen;;;;
3;D;Prüfen;Indoor Golf Grafing;Grafing;Bayern;;info@indoorgolfgrafing.de;;;;;;Reines Simulatorstudio;;Altverzeichnis – aktuellen Betrieb prüfen;Adresse fehlt;Treffer aus einem älteren Indoor-Golf-Verzeichnis. Vor Ansprache Website, Betrieb und Kontaktdaten prüfen.;offen;;;;
3;D;Prüfen;Indoorgolf Alberthausen;Bad Kissingen;Bayern;;wolfgang@seufert-bk.de;;;;;;Reines Simulatorstudio;;Altverzeichnis – aktuellen Betrieb prüfen;Adresse fehlt;Treffer aus einem älteren Indoor-Golf-Verzeichnis. Vor Ansprache Website, Betrieb und Kontaktdaten prüfen.;offen;;;;
3;D;Prüfen;Indoorgolf München-West;Germering;Bayern;;trainingscenter@indoorgolfmuenchen.de;;;;;;Reines Simulatorstudio;;Altverzeichnis – aktuellen Betrieb prüfen;Adresse fehlt;Treffer aus einem älteren Indoor-Golf-Verzeichnis. Vor Ansprache Website, Betrieb und Kontaktdaten prüfen.;offen;;;;
3;D;Prüfen;KA2 Indoor Golf Kulmbach;Kulmbach;Bayern;;info@ka2-fitness.de;;;;;;Sport-/Freizeitzentrum;;Altverzeichnis – aktuellen Betrieb prüfen;Adresse fehlt;Treffer aus einem älteren Indoor-Golf-Verzeichnis. Vor Ansprache Website, Betrieb und Kontaktdaten prüfen.;offen;;;;
3;D;Prüfen;NEW GOLF LOUNGE Neu-Ulm;Neu-Ulm;Bayern;89233;info@newgolfclub.de;+49 731 70533315;;;;;Indoor-Golf-Lounge;;Verzeichnisfund – prüfen;Kontakt vollständig;Eigenständige Golf Lounge aus Verzeichnis.;offen;;;;
3;D;Prüfen;Tennis Center Keferloh;Grasbrunn;Bayern;;tenniscenterkeferloh@yahoo.com;;;;;;Sport-/Freizeitzentrum;;Altverzeichnis – aktuellen Betrieb prüfen;Adresse fehlt;Treffer aus einem älteren Indoor-Golf-Verzeichnis. Vor Ansprache Website, Betrieb und Kontaktdaten prüfen.;offen;;;;
3;D;Prüfen;Tennispark Lichtenfels;Lichtenfels;Bayern;96215;info@tennispark-lichtenfels.de;+49 9571 2259;;;;;Sport-/Freizeitzentrum;;Verzeichnisfund – prüfen;Kontakt vollständig;"Sportcenter mit Indoor-Golf-Eintrag; kein Golfplatz.";offen;;;;
3;D;Prüfen;intrago Indoor Golf München-Perlach;München;Bayern;81737;info@intrago.golf;+49 89 30908400;TrackMan;2;;;Golfshop/Fitting/Training;;Verzeichnisfund – prüfen;Kontakt vollständig;Münchner Indoor-Golf-Kandidat aus Verzeichnis.;offen;;;;
3;D;Prüfen;Capitol Yard Golf Lounge Berlin;Berlin;Berlin;10245;kontakt@spreespeicher-events.de;;;;;;Eventlocation/Golfbar;;Verzeichnisfund – prüfen;Telefon fehlt;Event-/Lounge-Angebot, vermutlich nicht klassischer Publikumsbetrieb.;offen;;;;
3;D;Prüfen;Golf Performance Institute Berlin;Berlin;Berlin;10589;info@gpi-fitting.de;+49 151 53657941;;;;;Golfshop/Fitting/Training;;Verzeichnisfund – prüfen;Kontakt vollständig;"GPI/Premium-Indoor-Training; Quelle nicht vollständig offiziell geprüft.";offen;;;;
3;D;Prüfen;Golf Studio Berlin;Berlin;Berlin;10587;hello@hohmann-golf.de;+49 30 39800980;;;;;Golfshop/Fitting/Training;;Verzeichnisfund – prüfen;Kontakt vollständig;"Adresse aus aktuellem Verzeichnis; ältere Quellen nennen teils andere Adresse.";offen;;;;
3;D;Prüfen;HohmannGolf Indoorgolf Berlin;Berlin;Berlin;;service@hohmann-golf.de;;;;;;Golfshop/Fitting/Training;;Altverzeichnis – aktuellen Betrieb prüfen;Adresse fehlt;Treffer aus einem älteren Indoor-Golf-Verzeichnis. Vor Ansprache Website, Betrieb und Kontaktdaten prüfen.;offen;;;;
3;D;Prüfen;Indoor Golf Center Berlin Ku’damm;Berlin;Berlin;;info@indoor-golf-center.de;;;;;;Reines Simulatorstudio;;Altverzeichnis – aktuellen Betrieb prüfen;Adresse fehlt;Treffer aus einem älteren Indoor-Golf-Verzeichnis. Vor Ansprache Website, Betrieb und Kontaktdaten prüfen.;offen;;;;
3;D;Prüfen;ProGolf Berlin;Berlin;Berlin;10785;info@progolfberlin.com;+49 30 98392628;;;;;Golfshop/Fitting/Training;;Verzeichnisfund – prüfen;Kontakt vollständig;Indoor-Golf-/Trainingseintrag aus Verzeichnis.;offen;;;;
3;D;Prüfen;BSV Hamburg Indoor-Golf;Hamburg;Hamburg;22761;indoorgolf@bsv-hamburg.de;;TrackMan;2;Nein;Nein;Verband/Verein;;Verzeichnisfund – prüfen;Telefon fehlt;Zwei TrackMan-Anlagen, aber nicht als eigenständiger öffentlicher Indoor-Golfanbieter eingeordnet.;offen;;;;
3;D;Prüfen;Hamburger Golfakademie;Hamburg;Hamburg;;info@hamburger-golfakademie.de;;;;;;Golfshop/Fitting/Training;;Altverzeichnis – aktuellen Betrieb prüfen;Adresse fehlt;Treffer aus einem älteren Indoor-Golf-Verzeichnis. Vor Ansprache Website, Betrieb und Kontaktdaten prüfen.;offen;;;;
3;D;Prüfen;Golf Range Karben Indoor Golf;Karben;Hessen;;info@golfrange-karben.de;;;;;;Golfplatz/Golfclub-Box;;Altverzeichnis – aktuellen Betrieb prüfen;Adresse fehlt;Treffer aus einem älteren Indoor-Golf-Verzeichnis. Vor Ansprache Website, Betrieb und Kontaktdaten prüfen.;offen;;;;
3;D;Prüfen;Indoorgolf Braunfels;Braunfels;Hessen;;info@indoorgolf-braunfels.de;;;;;;Reines Simulatorstudio;;Altverzeichnis – aktuellen Betrieb prüfen;Adresse fehlt;Treffer aus einem älteren Indoor-Golf-Verzeichnis. Vor Ansprache Website, Betrieb und Kontaktdaten prüfen.;offen;;;;
3;D;Prüfen;Indoorgolf Wanfried;Wanfried;Hessen;;wolfgangbeckers@me.com;;;;;;Reines Simulatorstudio;;Altverzeichnis – aktuellen Betrieb prüfen;Adresse fehlt;Treffer aus einem älteren Indoor-Golf-Verzeichnis. Vor Ansprache Website, Betrieb und Kontaktdaten prüfen.;offen;;;;
3;D;Prüfen;Sieben Welten Indoor Golf;Künzell;Hessen;;info@siebenwelten.de;;;;;;Hotel/Resort-Box;;Altverzeichnis – aktuellen Betrieb prüfen;Adresse fehlt;Treffer aus einem älteren Indoor-Golf-Verzeichnis. Vor Ansprache Website, Betrieb und Kontaktdaten prüfen.;offen;;;;
3;D;Prüfen;Sportpark Offenthal;Dreieich;Hessen;63303;fun@sportpark-offenthal.de;+49 171 1978376;;;;;Sport-/Freizeitzentrum;;Verzeichnisfund – prüfen;Kontakt vollständig;"Sportpark-Kandidat; von RUFF Dreieich separat prüfen.";offen;;;;
3;D;Prüfen;Flyingolf Rostock;Rostock;Mecklenburg-Vorpommern;18069;info@flyingolf.de;+49 381 12733194;;;;;Reines Simulatorstudio;;Verzeichnisfund – prüfen;Kontakt vollständig;Indoor-Golf-Eintrag ohne Hinweis auf Golfplatz/Hotel.;offen;;;;
3;D;Prüfen;Indoor-Golfarena Greifswald;Greifswald;Mecklenburg-Vorpommern;;indoor.golf@gmx.de;;;;;;Reines Simulatorstudio;;Altverzeichnis – aktuellen Betrieb prüfen;Adresse fehlt;Treffer aus einem älteren Indoor-Golf-Verzeichnis. Vor Ansprache Website, Betrieb und Kontaktdaten prüfen.;offen;;;;
3;D;Prüfen;Aloha Sport Club Braunschweig;Braunschweig;Niedersachsen;38122;aloha-bs@outlook.de;+49 531 840110;;;;;Sport-/Freizeitzentrum;;Verzeichnisfund – prüfen;Kontakt vollständig;Sportclub mit Indoor-Golf-Eintrag, kein klassischer Golfplatz.;offen;;;;
3;D;Prüfen;Ball-Haus Reinhausen;Gleichen-Reinhausen;Niedersachsen;;info@ballhaus-reinhausen.de;;;;;;Sport-/Freizeitzentrum;;Altverzeichnis – aktuellen Betrieb prüfen;Adresse fehlt;Treffer aus einem älteren Indoor-Golf-Verzeichnis. Vor Ansprache Website, Betrieb und Kontaktdaten prüfen.;offen;;;;
3;D;Prüfen;Blauer Fasan Indoor-Golf Wiesmoor;Wiesmoor;Niedersachsen;;golf@blauer-fasan.de;;;;;;Hotel/Resort-Box;;Altverzeichnis – aktuellen Betrieb prüfen;Adresse fehlt;Treffer aus einem älteren Indoor-Golf-Verzeichnis. Vor Ansprache Website, Betrieb und Kontaktdaten prüfen.;offen;;;;
3;D;Prüfen;Golf Resort Adendorf Indoor Golf;Adendorf;Niedersachsen;;golf@castanea-resort.de;;;;;;Hotel/Resort-Box;;Altverzeichnis – aktuellen Betrieb prüfen;Adresse fehlt;Treffer aus einem älteren Indoor-Golf-Verzeichnis. Vor Ansprache Website, Betrieb und Kontaktdaten prüfen.;offen;;;;
3;D;Prüfen;Golfschule & Pro Shop Hendrik Harms;Papenburg;Niedersachsen;26871;info@hennygolf.de;;;;;;Golfshop/Fitting/Training;;Verzeichnisfund – prüfen;Telefon fehlt;Kann als B2B-/Trainingkontakt interessant sein, aber nicht eindeutig eigenständige Simulatorhalle.;offen;;;;
3;D;Prüfen;Indoor Golf Duderstadt;Duderstadt;Niedersachsen;37115;Golf@Mueller-Duderstadt.de;+49 5527 3227;;;;;Reines Simulatorstudio;;Verzeichnisfund – prüfen;Kontakt vollständig;Eigenständiger Indoor-Golf-Eintrag aus Verzeichnis.;offen;;;;
3;D;Prüfen;Arena 79 Bottrop;Bottrop;Nordrhein-Westfalen;;info@arena79.de;;;;;;Sport-/Freizeitzentrum;;Altverzeichnis – aktuellen Betrieb prüfen;Adresse fehlt;Treffer aus einem älteren Indoor-Golf-Verzeichnis. Vor Ansprache Website, Betrieb und Kontaktdaten prüfen.;offen;;;;
3;D;Prüfen;Bielefeld Indoor Range;Bielefeld;Nordrhein-Westfalen;;bielefeld@golfhouse.de;;;;;;Reines Simulatorstudio;;Altverzeichnis – aktuellen Betrieb prüfen;Adresse fehlt;Treffer aus einem älteren Indoor-Golf-Verzeichnis. Vor Ansprache Website, Betrieb und Kontaktdaten prüfen.;offen;;;;
3;D;Prüfen;COSMO SPORTS Indoorgolf Düsseldorf;Düsseldorf;Nordrhein-Westfalen;;info@cosmo-sports.de;;;;;;Sport-/Freizeitzentrum;;Altverzeichnis – aktuellen Betrieb prüfen;Adresse fehlt;Treffer aus einem älteren Indoor-Golf-Verzeichnis. Vor Ansprache Website, Betrieb und Kontaktdaten prüfen.;offen;;;;
3;D;Prüfen;Golfhalle Münsterland;Nordkirchen;Nordrhein-Westfalen;59394;info@golfhalle-muensterland.de;+49 173 4444905;;4;;;Reines Simulatorstudio;;Altverzeichnis – aktuellen Betrieb prüfen;Kontakt vollständig;Treffer aus einem älteren Indoor-Golf-Verzeichnis. Vor Ansprache Website, Betrieb und Kontaktdaten prüfen.;offen;;;;
3;D;Prüfen;Golfschule Köln;Köln;Nordrhein-Westfalen;;info@golfschule-koeln.de;;;;;;Golfshop/Fitting/Training;;Verzeichnisfund – prüfen;Adresse fehlt;Nur als Suchkandidat belassen.;offen;;;;
3;D;Prüfen;Hotel Haus Schnepper Indoor Golf;Attendorn;Nordrhein-Westfalen;;hotel-info@hotel-schnepper.de;;;;;;Hotel/Resort-Box;;Altverzeichnis – aktuellen Betrieb prüfen;Adresse fehlt;Treffer aus einem älteren Indoor-Golf-Verzeichnis. Vor Ansprache Website, Betrieb und Kontaktdaten prüfen.;offen;;;;
3;D;Prüfen;Indoor Golf Center Bad Münstereifel;Bad Münstereifel;Nordrhein-Westfalen;;info@sportwelt-schaefer.de;;;;;;Reines Simulatorstudio;;Altverzeichnis – aktuellen Betrieb prüfen;Adresse fehlt;Treffer aus einem älteren Indoor-Golf-Verzeichnis. Vor Ansprache Website, Betrieb und Kontaktdaten prüfen.;offen;;;;
3;D;Prüfen;Indoor-Golf Sauerland;;Nordrhein-Westfalen;;tennishalle-sundern@t-online.de;;;;;;Reines Simulatorstudio;;Altverzeichnis – aktuellen Betrieb prüfen;Adresse fehlt;Treffer aus einem älteren Indoor-Golf-Verzeichnis. Vor Ansprache Website, Betrieb und Kontaktdaten prüfen.;offen;;;;
3;D;Prüfen;Indoorgolf Büren;Büren;Nordrhein-Westfalen;;ackfeld@aol.com;;;;;;Reines Simulatorstudio;;Altverzeichnis – aktuellen Betrieb prüfen;Adresse fehlt;Treffer aus einem älteren Indoor-Golf-Verzeichnis. Vor Ansprache Website, Betrieb und Kontaktdaten prüfen.;offen;;;;
3;D;Prüfen;Jordan Golfdom Köln;Köln;Nordrhein-Westfalen;;info@golfdom.de;;;;;;Golfshop/Fitting/Training;;Altverzeichnis – aktuellen Betrieb prüfen;Adresse fehlt;Treffer aus einem älteren Indoor-Golf-Verzeichnis. Vor Ansprache Website, Betrieb und Kontaktdaten prüfen.;offen;;;;
3;D;Prüfen;Kölner Golfclub Indoor Golf;Köln;Nordrhein-Westfalen;;proshop.koelner-golfclub@golfhouse.de;;;;;;Golfplatz/Golfclub-Box;;Altverzeichnis – aktuellen Betrieb prüfen;Adresse fehlt;Treffer aus einem älteren Indoor-Golf-Verzeichnis. Vor Ansprache Website, Betrieb und Kontaktdaten prüfen.;offen;;;;
3;D;Prüfen;SPORTSPARK Cologne;Köln;Nordrhein-Westfalen;51149;golf@cologne-sportspark.de;+49 2203 980200;;;;;Sport-/Freizeitzentrum;;Verzeichnisfund – prüfen;Kontakt vollständig;Sportpark mit Indoor-Golf-Eintrag, kein Golfplatz.;offen;;;;
3;D;Prüfen;Sportcenter Kautz Köln;Köln;Nordrhein-Westfalen;50939;indoorgolfcenter@aol.com;;;;;;Sport-/Freizeitzentrum;;Altverzeichnis – aktuellen Betrieb prüfen;Telefon fehlt;Treffer aus einem älteren Indoor-Golf-Verzeichnis. Vor Ansprache Website, Betrieb und Kontaktdaten prüfen.;offen;;;;
3;D;Prüfen;Sweetspot Cologne;Kerpen;Nordrhein-Westfalen;50171;info@sweetspot-cologne.de;+49 176 41608680;;;;;Indoor-Golf-Lounge;;Verzeichnisfund – prüfen;Kontakt vollständig;Indoor-Golf-Lounge im Großraum Köln.;offen;;;;
3;D;Prüfen;GREEN BOX Bad Kreuznach;Bad Kreuznach;Rheinland-Pfalz;55545;info@greenbox-sportlounge.de;+49 671 79 66 90 0;;;;;Reines Simulatorstudio;;Verzeichnisfund – prüfen;Kontakt vollständig;Indoor-Golf-Eintrag ohne Golfplatz-/Resortcharakter.;offen;;;;
3;D;Prüfen;Indoorgolf Maarheide;Niederdürenbach;Rheinland-Pfalz;;info@neuer-maarhof.de;;;;;;Reines Simulatorstudio;;Altverzeichnis – aktuellen Betrieb prüfen;Adresse fehlt;Treffer aus einem älteren Indoor-Golf-Verzeichnis. Vor Ansprache Website, Betrieb und Kontaktdaten prüfen.;offen;;;;
3;D;Prüfen;Mainzer Golfclub Indoor-Golf;Mainz;Rheinland-Pfalz;;info@mainzer-golfclub.de;;;;;;Golfplatz/Golfclub-Box;;Altverzeichnis – aktuellen Betrieb prüfen;Adresse fehlt;Treffer aus einem älteren Indoor-Golf-Verzeichnis. Vor Ansprache Website, Betrieb und Kontaktdaten prüfen.;offen;;;;
3;D;Prüfen;Sportpark Weißenthurm;Weißenthurm;Rheinland-Pfalz;;info@sportparkweissenthurm.de;;;;;;Sport-/Freizeitzentrum;;Altverzeichnis – aktuellen Betrieb prüfen;Adresse fehlt;Treffer aus einem älteren Indoor-Golf-Verzeichnis. Vor Ansprache Website, Betrieb und Kontaktdaten prüfen.;offen;;;;
3;D;Prüfen;Club.align Golf Saarbrücken;Saarbrücken;Saarland;66117;info@clubalign-golf.com;+49 681 58829962;;;;;Golfshop/Fitting/Training;;Verzeichnisfund – prüfen;Kontakt vollständig;Indoor-Golf/Fitting- oder Trainingsstudio aus Verzeichnis.;offen;;;;
3;D;Prüfen;Citygolf Center Dresden;Dresden;Sachsen;;info@buerogolf-agentur.de;;;;;;Reines Simulatorstudio;;Altverzeichnis – aktuellen Betrieb prüfen;Adresse fehlt;Treffer aus einem älteren Indoor-Golf-Verzeichnis. Vor Ansprache Website, Betrieb und Kontaktdaten prüfen.;offen;;;;
3;D;Niedrig;GO! Golf-Offensive – Maritim Hotel Dresden;Dresden;Sachsen;01067;info@golf-offensive.de;;TrackMan;1;;Nein;Hotel/Resort-Box;https://www.golf-offensive.de/golfsimulator/;Aktiv – offizielle Seite bestätigt;Telefon fehlt;"Ein TrackMan-Simulator, laut Anbieter rund um die Uhr spielbar; kein eigenständiges Simulatorzentrum.";offen;;;;
3;D;Prüfen;Golf-Inside24 Leipzig;Leipzig;Sachsen;04347;info@golf-inside24.de;+49 341 2317105;TrackMan laut Verzeichnisumfeld;;;;Reines Simulatorstudio;;Verzeichnisfund – prüfen;Kontakt vollständig;"Indoor-Golf-Eintrag; aktuelle Aktivität bitte prüfen.";offen;;;;
3;D;Prüfen;Golfakademie Leipzig;Leipzig;Sachsen;;kessler@golfakademie.pro;;;;;;Golfshop/Fitting/Training;;Altverzeichnis – aktuellen Betrieb prüfen;Adresse fehlt;Treffer aus einem älteren Indoor-Golf-Verzeichnis. Vor Ansprache Website, Betrieb und Kontaktdaten prüfen.;offen;;;;
3;D;Prüfen;Indoor Golf Chemnitz – Erzberger Straße;Chemnitz;Sachsen;;info@indoorgolf-chemnitz.de;;;;;;Reines Simulatorstudio;;Altverzeichnis – aktuellen Betrieb prüfen;Telefon fehlt;Treffer aus einem älteren Indoor-Golf-Verzeichnis. Vor Ansprache Website, Betrieb und Kontaktdaten prüfen.;offen;;;;
3;D;Prüfen;Indoorgolf Dresden Bannewitz;Bannewitz;Sachsen;;service@deingolfshop.de;;;;;;Reines Simulatorstudio;;Altverzeichnis – aktuellen Betrieb prüfen;Adresse fehlt;Treffer aus einem älteren Indoor-Golf-Verzeichnis. Vor Ansprache Website, Betrieb und Kontaktdaten prüfen.;offen;;;;
3;D;Prüfen;FIRSTGOLF Magdeburg;Magdeburg;Sachsen-Anhalt;39112;info@firstgolf-magdeburg.de;+49 391 4059049;;;;;Reines Simulatorstudio;;Verzeichnisfund – prüfen;Kontakt vollständig;Eigenständiger Indoor-Golf-Eintrag im Verzeichnis.;offen;;;;
3;D;Prüfen;CockayneGolf Indoor Lübeck;Lübeck;Schleswig-Holstein;;hello@cockayne-golf.de;;;;;;Golfshop/Fitting/Training;;Altverzeichnis – aktuellen Betrieb prüfen;Adresse fehlt;Treffer aus einem älteren Indoor-Golf-Verzeichnis. Vor Ansprache Website, Betrieb und Kontaktdaten prüfen.;offen;;;;
3;D;Prüfen;Fitness & Physiotherapie Preetz Indoor Golf;Preetz;Schleswig-Holstein;;sport@t-sp.de;;;;;;Sport-/Freizeitzentrum;;Altverzeichnis – aktuellen Betrieb prüfen;Adresse fehlt;Treffer aus einem älteren Indoor-Golf-Verzeichnis. Vor Ansprache Website, Betrieb und Kontaktdaten prüfen.;offen;;;;
3;D;Prüfen;Maritim Golfpark Ostsee Indoor Golf;;Schleswig-Holstein;;info.golf@maritimgolfpark.de;;;;;;Hotel/Resort-Box;;Altverzeichnis – aktuellen Betrieb prüfen;Adresse fehlt;Treffer aus einem älteren Indoor-Golf-Verzeichnis. Vor Ansprache Website, Betrieb und Kontaktdaten prüfen.;offen;;;;
3;D;Prüfen;Vegas Bowling und Golf Lübeck;Lübeck;Schleswig-Holstein;;info@vegas-luebeck.de;;;;;;Sport-/Freizeitzentrum;;Altverzeichnis – aktuellen Betrieb prüfen;Adresse fehlt;Treffer aus einem älteren Indoor-Golf-Verzeichnis. Vor Ansprache Website, Betrieb und Kontaktdaten prüfen.;offen;;;;
3;D;Prüfen;GTPC Eisenach;Eisenach;Thüringen;;info@golfcenter-eisenach.de;;;;;;Golfshop/Fitting/Training;;Altverzeichnis – aktuellen Betrieb prüfen;Adresse fehlt;Treffer aus einem älteren Indoor-Golf-Verzeichnis. Vor Ansprache Website, Betrieb und Kontaktdaten prüfen.;offen;;;;
